player,team,pos,gp,min,pts,reb,ast,stl,blk,tpm,tov,fga,fta,fg,ft,adp
Quentin Grimes,PHI,PG/SG,70,30.0,16.05,4.5,3.3,1.09,0.32,2.31,2.08,12.06,3.23,0.0,0.0,102.0
Christian Braun,DEN,SF/SG,70,30.0,15.4,5.19,2.6,1.08,0.47,1.13,1.03,10.39,2.71,0.0,0.0,103.0
Collin Sexton,CHA,PG/SF/SG,70,33.0,18.4,2.71,4.2,0.75,0.1,1.75,2.54,13.76,3.98,0.0,0.0,104.0
Naz Reid,MIN,C/PF,70,30.0,14.2,6.0,2.3,0.73,0.9,2.19,1.35,11.54,1.79,0.0,0.0,105.0
Alex Sarr,WAS,C,70,30.0,13.0,6.49,2.4,0.66,1.51,1.57,1.7,12.36,2.46,0.0,0.0,106.0
Tobias Harris,DET,PF,70,30.0,13.7,5.92,2.2,1.01,0.78,1.25,1.16,11.03,2.27,0.0,0.0,107.0
Payton Pritchard,BOS,PG,70,30.0,14.3,3.84,3.5,0.88,0.18,3.19,1.04,10.83,1.05,0.0,0.0,108.0
Brook Lopez,LAC,C,70,30.0,13.0,5.01,1.8,0.63,1.85,1.74,1.05,9.68,1.73,0.0,0.0,109.0
Draymond Green,GSW,C/PF,70,26.0,9.0,6.09,5.6,1.46,1.03,1.18,2.56,7.49,2.16,0.0,0.0,110.0
Jordan Clarkson,NYK,PG/SG,70,30.0,16.2,3.19,3.7,0.84,0.24,2.27,2.32,13.32,3.86,0.0,0.0,111.0
Tari Eason,HOU,PF/SF,70,30.0,12.0,6.35,1.5,1.7,0.88,1.11,1.14,9.81,1.82,0.0,0.0,112.0
Santi Aldama,MEM,C/PF,70,30.0,12.5,6.4,2.9,0.8,0.45,1.85,1.09,9.97,1.45,0.0,0.0,113.0
Bennedict Mathurin,IND,SF/SG,70,30.0,16.1,5.32,1.9,0.65,0.33,1.36,1.88,11.85,4.61,0.0,0.0,114.0
Keegan Murray,SAC,PF/SF,70,30.0,12.4,6.67,1.4,0.8,0.91,2.03,0.79,10.79,0.95,0.0,0.0,115.0
De'Andre Hunter,CLE,PF/SF,70,30.0,16.65,4.05,1.4,0.77,0.22,2.42,1.22,11.65,3.83,0.0,0.0,116.0
Jaden McDaniels,MIN,PF/SF,70,30.0,12.2,5.73,2.0,1.34,0.9,1.22,1.16,10.17,1.56,0.0,0.0,117.0
Aaron Gordon,DEN,C/PF,70,30.0,14.7,4.84,3.2,0.45,0.27,1.47,1.43,9.75,3.51,0.0,0.0,118.0
Jonathan Kuminga,GSW,PF/SF,70,30.0,15.3,4.62,2.2,0.81,0.45,0.98,1.51,12.09,5.0,0.0,0.0,119.0
Stephon Castle,SAS,PG/SG,70,30.0,14.7,3.67,4.1,0.91,0.27,1.17,2.19,12.2,4.25,0.0,0.0,120.0
Daniel Gafford,DAL,C,70,30.0,12.3,6.81,1.4,0.4,1.79,0.0,1.16,7.07,3.44,0.0,0.0,121.0
Jerami Grant,POR,PF,70,30.0,14.4,3.47,2.1,0.87,0.98,2.3,1.38,12.21,3.53,0.0,0.0,122.0
Bilal Coulibaly,WAS,PF/SF,70,30.0,12.3,4.98,3.4,1.32,0.69,1.07,2.12,10.58,3.14,0.0,0.0,123.0
Malik Beasley,,SF/SG,70,30.0,16.3,2.61,1.7,0.89,0.06,3.89,1.01,13.06,1.71,0.0,0.0,124.0
Nic Claxton,BKN,C/PF,70,26.0,10.3,7.36,2.2,0.89,1.43,0.07,1.24,8.11,2.2,0.0,0.0,125.0
Chris Paul,LAC,PG,70,26.0,8.8,3.61,7.4,1.26,0.27,1.71,1.57,7.11,1.12,0.0,0.0,126.0
Kyle Kuzma,MIL,PF/SF,70,30.0,14.85,5.7,2.35,0.55,0.29,1.48,2.25,13.07,3.1,0.0,0.0,127.0
Dennis Schröder,SAC,PG,70,30.0,13.27,2.64,5.43,0.9,0.16,1.73,1.94,11.18,2.86,0.0,0.0,128.0
D'Angelo Russell,DAL,PG,70,30.0,12.65,2.79,5.15,0.96,0.4,1.95,1.86,11.0,2.5,0.0,0.0,129.0
Toumani Camara,POR,PF/SF/SG,70,26.0,11.3,5.77,2.2,1.49,0.64,1.73,1.4,9.18,1.62,0.0,0.0,130.0
Brandin Podziemski,GSW,PG/SG,70,26.0,11.7,5.08,3.4,1.08,0.2,1.8,1.17,9.83,1.48,0.0,0.0,131.0
Ayo Dosunmu,CHI,PG/SF/SG,70,30.0,12.3,3.5,4.5,0.93,0.39,1.35,1.5,9.76,1.72,0.0,0.0,132.0
Naji Marshall,DAL,PF/SF/SG,70,30.0,13.2,4.75,3.0,1.01,0.16,0.87,1.62,10.32,2.32,0.0,0.0,133.0
Jrue Holiday,POR,PG/SG,70,26.0,11.1,4.27,3.9,1.06,0.44,1.74,1.24,9.24,1.24,0.0,0.0,134.0
Jabari Smith,HOU,C/PF,70,30.0,12.2,7.0,1.1,0.44,0.72,1.72,1.07,9.93,2.21,0.0,0.0,135.0
Donte DiVincenzo,MIN,PG/SF/SG,70,26.0,11.7,3.68,3.6,1.18,0.27,2.81,1.6,9.56,1.02,0.0,0.0,136.0
Scoot Henderson,POR,PG,70,30.0,12.7,3.0,5.1,1.03,0.2,1.59,2.68,10.38,3.12,0.0,0.0,137.0
Klay Thompson,DAL,PF/SF/SG,70,30.0,14.0,3.42,2.0,0.69,0.42,3.0,1.22,12.18,1.03,0.0,0.0,138.0
Caris LeVert,DET,SF/SG,70,30.0,12.55,3.25,3.3,0.9,0.52,1.68,1.15,9.71,2.48,0.0,0.0,139.0
Rui Hachimura,LAL,PF/SF,70,30.0,13.1,5.0,1.4,0.76,0.44,1.73,0.83,9.76,1.92,0.0,0.0,140.0
Dereck Lively,DAL,C,70,26.0,8.7,7.5,2.4,0.56,1.56,0.0,1.14,5.31,2.03,0.0,0.0,141.0
Jeremy Sochan,SAS,C/PF/SF,70,26.0,11.4,6.52,2.4,0.83,0.5,0.52,1.56,8.69,2.31,0.0,0.0,142.0
Dillon Brooks,PHX,PF/SF/SG,70,30.0,14.0,3.67,1.7,0.8,0.21,2.48,1.01,11.93,1.61,0.0,0.0,143.0
Drew Timme,,PF/SF,70,30.0,12.1,7.22,2.2,0.44,0.11,1.0,1.67,11.33,1.78,0.0,0.0,144.0
Gradey Dick,TOR,SF/SG,70,30.0,14.4,3.57,1.8,0.89,0.19,2.11,1.54,11.98,2.87,0.0,0.0,145.0
Malcolm Brogdon,,PG/SG,70,30.0,12.7,3.79,4.1,0.54,0.21,0.67,1.58,10.0,3.83,0.0,0.0,146.0
Jared McCain,PHI,PG/SG,70,30.0,15.3,2.43,2.6,0.65,0.0,2.22,1.61,11.91,2.43,0.0,0.0,147.0
Khris Middleton,WAS,PF/SF,70,26.0,11.65,3.71,3.9,1.02,0.21,1.23,1.49,9.09,2.35,0.0,0.0,148.0
Yves Missi,NOP,C,70,26.0,9.1,8.23,1.4,0.51,1.34,0.0,1.12,6.74,2.79,0.0,0.0,149.0
Herbert Jones,NOP,PF/SF,70,26.0,10.3,3.9,3.3,1.85,0.45,1.1,1.75,8.6,2.0,0.0,0.0,150.0
Ausar Thompson,DET,SF/SG,70,26.0,10.1,5.14,2.3,1.66,0.68,0.19,1.36,7.8,2.41,0.0,0.0,151.0
Tre Mann,CHA,PG/SG,70,30.0,14.1,2.92,3.0,0.54,0.31,1.85,1.92,12.38,1.62,0.0,0.0,152.0
Grant Williams,CHA,PF,70,26.0,10.4,5.13,2.3,1.13,0.81,1.69,1.75,7.69,2.31,0.0,0.0,153.0
Zach Edey,MEM,C,70,26.0,9.2,8.3,1.0,0.55,1.29,0.27,1.33,6.56,1.92,0.0,0.0,154.0
Clint Capela,HOU,C,70,26.0,8.9,8.53,1.1,0.62,0.96,0.0,0.85,7.09,1.76,0.0,0.0,155.0
Guerschon Yabusele,NYK,C/PF,70,26.0,11.0,5.64,2.1,0.83,0.34,1.49,1.24,8.04,1.97,0.0,0.0,156.0
Keldon Johnson,SAS,PF/SF,70,30.0,12.7,4.82,1.6,0.64,0.29,1.13,1.0,10.0,2.52,0.0,0.0,157.0
Jose Alvarado,NOP,PG,70,26.0,10.3,2.43,4.6,1.32,0.25,1.98,1.54,9.3,1.32,0.0,0.0,158.0
Ty Jerome,MEM,PG/SG,70,30.0,12.5,2.47,3.4,1.11,0.04,1.59,1.31,8.83,2.11,0.0,0.0,159.0
Jonas Valančiūnas,DEN,C,70,26.0,10.1,7.61,2.0,0.46,0.56,0.09,1.4,7.51,2.0,0.0,0.0,160.0
Tyus Jones,ORL,PG,70,26.0,10.2,2.42,5.3,0.85,0.1,2.05,1.12,8.43,0.7,0.0,0.0,161.0
Andrew Nembhard,IND,PG/SG,70,26.0,10.0,3.32,5.0,1.22,0.17,0.78,1.72,8.29,2.09,0.0,0.0,162.0
Jusuf Nurkić,UTA,C,70,26.0,8.9,7.83,2.25,0.79,0.67,0.63,1.91,6.89,2.51,0.0,0.0,163.0
Al Horford,GSW,C/PF,70,26.0,9.0,6.15,2.1,0.6,0.85,1.9,0.77,7.68,0.63,0.0,0.0,164.0
Moritz Wagner,ORL,C/PF,70,30.0,12.9,4.93,1.4,0.8,0.4,0.9,1.63,8.3,3.67,0.0,0.0,165.0
Scotty Pippen,MEM,PG/SG,70,26.0,9.9,3.28,4.4,1.3,0.38,1.1,1.75,7.52,2.16,0.0,0.0,166.0
Wendell Carter,ORL,C,70,26.0,9.1,7.24,2.0,0.76,0.6,0.54,1.13,7.22,2.57,0.0,0.0,167.0
Kel'el Ware,MIA,C/PF,70,26.0,9.3,7.39,0.9,0.61,1.11,0.55,0.89,7.25,1.05,0.0,0.0,168.0
Spencer Dinwiddie,,PG/SF/SG,70,26.0,11.0,2.65,4.4,0.89,0.22,1.38,1.29,8.63,3.08,0.0,0.0,169.0
Isaiah Mobley,,PF/SF,70,26.0,6.0,4.0,5.0,1.0,1.0,1.0,0.0,7.0,2.0,0.0,0.0,170.0
Bub Carrington,WAS,PG/SG,70,26.0,9.8,4.16,4.4,0.66,0.26,1.68,1.72,9.12,1.04,0.0,0.0,171.0
Killian Hayes,,PG,70,26.0,9.0,3.0,5.2,0.67,0.67,1.33,1.5,7.17,2.0,0.0,0.0,172.0
Aaron Wiggins,OKC,PF/SF/SG,70,30.0,12.0,3.88,1.8,0.79,0.24,1.71,0.91,9.58,1.17,0.0,0.0,173.0
Tolu Smith,DET,C,70,30.0,14.0,8.0,0.0,0.0,0.0,0.0,2.0,9.0,3.0,0.0,0.0,174.0
Luguentz Dort,OKC,SF/SG,70,26.0,10.1,4.13,1.6,1.11,0.55,2.39,0.72,8.35,0.65,0.0,0.0,175.0
Lonnie Walker,,PF/SF/SG,70,30.0,12.4,3.15,2.5,0.5,0.25,2.25,1.25,10.6,1.5,0.0,0.0,176.0
Aaron Nesmith,IND,SF/SG,70,30.0,12.0,3.96,1.2,0.78,0.38,1.87,0.82,8.42,1.78,0.0,0.0,177.0
Harrison Barnes,SAS,C/PF,70,30.0,12.3,3.78,1.7,0.48,0.17,1.9,0.61,8.33,2.43,0.0,0.0,178.0
Nikola Jović,MIA,PF,70,26.0,10.7,3.91,2.8,0.83,0.28,1.7,1.3,8.2,1.89,0.0,0.0,179.0
Zaccharie Risacher,ATL,PF/SF,70,30.0,12.6,3.57,1.2,0.69,0.49,1.63,1.23,10.39,1.99,0.0,0.0,180.0
Kevin Porter,MIL,PG/SG,70,26.0,10.5,3.75,3.45,1.11,0.15,0.77,1.8,8.61,2.4,0.0,0.0,181.0
Nick Richards,PHX,C,70,26.0,9.2,8.04,0.95,0.26,1.02,0.0,1.45,5.95,3.08,0.0,0.0,182.0
Goga Bitadze,ORL,C,70,26.0,7.2,6.61,2.0,0.7,1.4,0.04,1.03,4.84,1.9,0.0,0.0,183.0
Royce O'Neale,PHX,PF/SF,70,26.0,9.1,4.65,2.2,0.89,0.45,2.39,0.87,7.6,0.35,0.0,0.0,184.0
Isaiah Collier,UTA,PG,70,26.0,8.7,3.31,6.3,0.93,0.23,0.59,2.93,7.82,2.17,0.0,0.0,185.0
Kevin Huerter,CHI,SF/SG,70,26.0,10.55,3.03,2.45,0.99,0.32,2.06,1.0,9.26,0.73,0.0,0.0,186.0
Keon Johnson,,PG/SG,70,26.0,10.6,3.76,2.2,1.04,0.38,1.59,1.47,9.86,1.76,0.0,0.0,187.0
Max Strus,CLE,SF/SG,70,26.0,9.4,4.34,3.2,0.52,0.24,2.26,1.08,7.46,0.68,0.0,0.0,188.0
Kyle Filipowski,UTA,C/PF,70,26.0,9.6,6.11,1.9,0.67,0.31,1.07,1.42,7.19,1.99,0.0,0.0,189.0
Donovan Clingan,POR,C,70,26.0,6.5,7.87,1.1,0.51,1.64,0.21,1.07,4.99,1.55,0.0,0.0,190.0
Cason Wallace,OKC,PG/SG,70,26.0,8.4,3.37,2.5,1.76,0.51,1.09,0.87,7.19,0.54,0.0,0.0,191.0
Day'Ron Sharpe,BKN,C,70,26.0,7.9,6.6,1.8,0.82,0.84,0.22,1.26,6.34,1.48,0.0,0.0,192.0
Brandon Boston,,SF/SG,70,26.0,10.7,3.19,2.2,1.26,0.21,1.17,1.24,9.07,2.02,0.0,0.0,193.0
